web.JsonUtil.toLocatedBlockList web.JsonUtil.toLocatedBlock
web.JsonUtil.toLocatedBlocks web.JsonUtil.toLocatedBlockList
web.JsonUtil.toLocatedBlocks web.JsonUtil.toLocatedBlock
web.JsonUtil.toMD5MD5CRC32FileChecksum MD5MD5CRC32FileChecksum.getCrcTypeFromAlgorithmName
DFSInputStream.readBlockLength DFSUtil.createClientDatanodeProtocolProxy
DFSInputStream.readBlockLength protocol.ClientDatanodeProtocol.getReplicaVisibleLength
DFSInputStream.getBlockAt protocol.LocatedBlocks.getInsertIndex
DFSInputStream.fetchBlockAt protocol.LocatedBlocks.getInsertIndex
DFSInputStream.getFinalizedBlockRange protocol.LocatedBlocks.getInsertIndex
DFSInputStream.blockSeekTo BlockReader.close
DFSInputStream.close BlockReader.close
DFSInputStream.updateReadStatistics BlockReader.isShortCircuit
DFSInputStream.updateReadStatistics BlockReader.isLocal
DFSInputStream.chooseDataNode DFSInputStream.bestNode
DFSInputStream.chooseDataNode DFSUtil.getRandom
DFSInputStream.fetchBlockByteRange BlockReader.readAll
DFSInputStream.fetchBlockByteRange BlockReader.close
DFSInputStream.newTcpPeer net.TcpPeerServer.peerFromSocketAndKey
DFSInputStream.getBlockReader DFSClient.isLocalAddress
DFSInputStream.getBlockReader BlockReaderFactory.getLegacyBlockReaderLocal
DFSInputStream.getBlockReader BlockReaderFactory.newBlockReader
DFSInputStream.seek BlockReader.available
DFSInputStream.seek BlockReader.skip
DFSInputStream.closeCurrentBlockReader BlockReader.close
BlockReaderLocalLegacy.newBlockReader BlockReaderLocalLegacy.getLocalDatanodeInfo
BlockReaderLocalLegacy.newBlockReader BlockReaderLocalLegacy.getBlockPathInfo
BlockReaderLocalLegacy.newBlockReader server.datanode.BlockMetadataHeader.readHeader
BlockReaderLocalLegacy.getBlockPathInfo BlockReaderLocalLegacy.getLocalDatanodeInfo
BlockReaderLocalLegacy.getBlockPathInfo protocol.ClientDatanodeProtocol.getBlockLocalPathInfo
BlockReaderLocalLegacy.readAll BlockReaderUtil.readAll
BlockReaderLocalLegacy.readFully BlockReaderUtil.readFully
HAUtil.isHAEnabled DFSUtil.getHaNnRpcAddresses
HAUtil.getNameNodeId DFSUtil.getSuffixIDs
HAUtil.getNameNodeIdFromAddress DFSUtil.getSuffixIDs
HAUtil.getNameNodeIdOfOtherNode DFSUtil.getNameNodeIds
HAUtil.getNameNodeIdOfOtherNode DFSUtil.addKeySuffixes
HAUtil.getConfForOtherNode DFSUtil.getNamenodeNameServiceId
HAUtil.getConfForOtherNode HAUtil.getNameNodeIdOfOtherNode
HAUtil.getConfForOtherNode server.namenode.NameNode.initializeGenericKeys
HAUtil.cloneDelegationTokenForLogicalUri HAUtil.buildTokenServiceForLogicalUri
DistributedFileSystem.setWorkingDirectory DFSUtil.isValidName
DistributedFileSystem.getPathName DFSUtil.isValidName
DistributedFileSystem.createSymlink FileSystem.isSymlinksEnabled
DistributedFileSystem.getFileLinkStatus FSLinkResolver.qualifySymlinkTarget
DistributedFileSystem.canonicalizeUri HAUtil.isLogicalUri
ByteRangeInputStream.openInputStream ByteRangeInputStream.isChunkedTransferEncoding
ByteRangeInputStream.isChunkedTransferEncoding ByteRangeInputStream.contains
net.EncryptedPeer.setReadTimeout net.Peer.setReadTimeout
net.EncryptedPeer.getReceiveBufferSize net.Peer.getReceiveBufferSize
net.EncryptedPeer.getTcpNoDelay net.Peer.getTcpNoDelay
net.EncryptedPeer.setWriteTimeout net.Peer.setWriteTimeout
net.EncryptedPeer.isClosed net.Peer.isClosed
net.EncryptedPeer.close net.Peer.close
net.EncryptedPeer.getRemoteAddressString net.Peer.getRemoteAddressString
net.EncryptedPeer.getLocalAddressString net.Peer.getLocalAddressString
net.EncryptedPeer.isLocal net.Peer.isLocal
net.EncryptedPeer.getDomainSocket net.Peer.getDomainSocket
net.TcpPeerServer.peerFromSocket net.Peer.close
net.TcpPeerServer.peerFromSocketAndKey net.TcpPeerServer.peerFromSocket
net.TcpPeerServer.accept net.TcpPeerServer.peerFromSocket
net.DomainPeerServer.accept net.Peer.close
client.HdfsUtils.isHealthy FileSystem.get
qjournal.client.AsyncLoggerSet.setEpoch qjournal.client.AsyncLogger.setEpoch
qjournal.client.AsyncLoggerSet.setCommittedTxId qjournal.client.AsyncLogger.setCommittedTxId
qjournal.client.AsyncLoggerSet.close qjournal.client.AsyncLogger.close
qjournal.client.AsyncLoggerSet.purgeLogsOlderThan qjournal.client.AsyncLogger.purgeLogsOlderThan
qjournal.client.AsyncLoggerSet.appendHtmlReport qjournal.client.AsyncLogger.appendHtmlReport
qjournal.client.AsyncLoggerSet.getJournalState qjournal.client.AsyncLogger.getJournalState
qjournal.client.AsyncLoggerSet.getJournalState qjournal.client.QuorumCall.create
qjournal.client.AsyncLoggerSet.isFormatted qjournal.client.AsyncLogger.isFormatted
qjournal.client.AsyncLoggerSet.isFormatted qjournal.client.QuorumCall.create
qjournal.client.AsyncLoggerSet.newEpoch qjournal.client.AsyncLogger.newEpoch
qjournal.client.AsyncLoggerSet.newEpoch qjournal.client.QuorumCall.create
qjournal.client.AsyncLoggerSet.startLogSegment qjournal.client.AsyncLogger.startLogSegment
qjournal.client.AsyncLoggerSet.startLogSegment qjournal.client.QuorumCall.create
qjournal.client.AsyncLoggerSet.finalizeLogSegment qjournal.client.AsyncLogger.finalizeLogSegment
qjournal.client.AsyncLoggerSet.finalizeLogSegment qjournal.client.QuorumCall.create
qjournal.client.AsyncLoggerSet.sendEdits qjournal.client.AsyncLogger.sendEdits
qjournal.client.AsyncLoggerSet.sendEdits qjournal.client.QuorumCall.create
qjournal.client.AsyncLoggerSet.getEditLogManifest qjournal.client.AsyncLogger.getEditLogManifest
qjournal.client.AsyncLoggerSet.getEditLogManifest qjournal.client.QuorumCall.create
qjournal.client.AsyncLoggerSet.prepareRecovery qjournal.client.AsyncLogger.prepareRecovery
qjournal.client.AsyncLoggerSet.prepareRecovery qjournal.client.QuorumCall.create
qjournal.client.AsyncLoggerSet.acceptRecovery qjournal.client.AsyncLogger.acceptRecovery
qjournal.client.AsyncLoggerSet.acceptRecovery qjournal.client.QuorumCall.create
qjournal.client.AsyncLoggerSet.format qjournal.client.AsyncLogger.format
qjournal.client.AsyncLoggerSet.format qjournal.client.QuorumCall.create
qjournal.client.QuorumCall.rethrowException qjournal.client.QuorumException.create
qjournal.client.IPCLoggerChannel.buildURLToFetchLogs qjournal.server.GetJournalEditServlet.buildPath
qjournal.client.IPCLoggerChannel.heartbeatIfNecessary qjournal.protocol.QJournalProtocol.heartbeat
qjournal.client.QuorumJournalManager.parseJournalId qjournal.client.QuorumJournalManager.checkJournalId
qjournal.client.QuorumJournalManager.recoverUnclosedSegment qjournal.client.QuorumCall.mapToString
qjournal.client.QuorumJournalManager.recoverUnclosedSegment qjournal.client.AsyncLogger.buildURLToFetchLogs
qjournal.client.QuorumJournalManager.createLoggers qjournal.client.QuorumJournalManager.getLoggerAddresses
qjournal.client.QuorumJournalManager.createLoggers qjournal.client.QuorumJournalManager.parseJournalId
qjournal.client.QuorumJournalManager.recoverUnfinalizedSegments qjournal.client.QuorumCall.mapToString
qjournal.client.QuorumJournalManager.selectInputStreams qjournal.client.AsyncLogger.buildURLToFetchLogs
qjournal.client.QuorumJournalManager.selectInputStreams server.namenode.EditLogFileInputStream.fromUrl
qjournal.client.QuorumJournalManager.selectInputStreams server.namenode.JournalSet.chainAndMakeRedundantStreams
qjournal.client.IPCLoggerChannelMetrics.create qjournal.client.IPCLoggerChannelMetrics.getName
qjournal.protocolPB.QJournalProtocolServerSideTranslatorPB.isFormatted qjournal.protocol.QJournalProtocol.isFormatted
qjournal.protocolPB.QJournalProtocolServerSideTranslatorPB.getJournalState qjournal.protocol.QJournalProtocol.getJournalState
qjournal.protocolPB.QJournalProtocolServerSideTranslatorPB.newEpoch protocolPB.PBHelper.convert
qjournal.protocolPB.QJournalProtocolServerSideTranslatorPB.newEpoch qjournal.protocol.QJournalProtocol.newEpoch
qjournal.protocolPB.QJournalProtocolServerSideTranslatorPB.format protocolPB.PBHelper.convert
qjournal.protocolPB.QJournalProtocolServerSideTranslatorPB.format qjournal.protocol.QJournalProtocol.format
qjournal.protocolPB.QJournalProtocolServerSideTranslatorPB.journal qjournal.protocol.QJournalProtocol.journal
qjournal.protocolPB.QJournalProtocolServerSideTranslatorPB.heartbeat qjournal.protocol.QJournalProtocol.heartbeat
qjournal.protocolPB.QJournalProtocolServerSideTranslatorPB.startLogSegment qjournal.protocol.QJournalProtocol.startLogSegment
qjournal.protocolPB.QJournalProtocolServerSideTranslatorPB.finalizeLogSegment qjournal.protocol.QJournalProtocol.finalizeLogSegment
qjournal.protocolPB.QJournalProtocolServerSideTranslatorPB.purgeLogs qjournal.protocol.QJournalProtocol.purgeLogsOlderThan
qjournal.protocolPB.QJournalProtocolServerSideTranslatorPB.getEditLogManifest qjournal.protocol.QJournalProtocol.getEditLogManifest
qjournal.protocolPB.QJournalProtocolServerSideTranslatorPB.prepareRecovery qjournal.protocol.QJournalProtocol.prepareRecovery
qjournal.protocolPB.QJournalProtocolServerSideTranslatorPB.acceptRecovery qjournal.protocol.QJournalProtocol.acceptRecovery
qjournal.protocolPB.QJournalProtocolTranslatorPB.isFormatted qjournal.protocolPB.QJournalProtocolPB.isFormatted
qjournal.protocolPB.QJournalProtocolTranslatorPB.getJournalState qjournal.protocolPB.QJournalProtocolPB.getJournalState
qjournal.protocolPB.QJournalProtocolTranslatorPB.format protocolPB.PBHelper.convert
qjournal.protocolPB.QJournalProtocolTranslatorPB.format qjournal.protocolPB.QJournalProtocolPB.format
qjournal.protocolPB.QJournalProtocolTranslatorPB.newEpoch protocolPB.PBHelper.convert
